,session_id,age,ethnic,sex,sexuality_3,d_score,Mn_RT_all_3467,PCT_error_3467,Stimuli,tgaymen,tgaywomen,tstraightmen,tstraightwomen,att_5,aap1,aap7,ems1,ems4,ims3,ims4,ims4_7,countrycit,edu_13,major,politicalid_6,STATE,MSANo,CountyNo,MSAName
35506,1131390,50,5,m,0,.887554735806801,1032.03333333333,3.33333333333333,1,0,0,10,10,5,0,-3,2,2,-3,-3,-3,US,8,12,3,MA,44140,013,"Springfield, MA MSA"
35508,1131461,22,5,f,0,-.131649214721935,978.458333333333,16.6666666666667,2,10,10,10,10,3,2,-2,-2,-3,3,2,2,US,7,6,6,MA,44140,013,"Springfield, MA MSA"
35510,1057885,29,5,m,0,-.273698247276211,1195.475,14.1666666666667,1,7,8,7,8,3,-3,3,3,-3,3,3,3,US,7,4,6,MA,44140,013,"Springfield, MA MSA"
35511,1112803,45,5,f,1,-.688693612220846,1171.075,6.66666666666667,2,7,10,2,4,2,1,3,0,-3,3,3,3,US,5,6,3,MA,44140,013,"Springfield, MA MSA"
35512,1094878,38,5,m,1,-.359193204029611,860.341666666667,5.83333333333333,1,7,5,5,5,3,2,-1,-3,-3,3,3,3,US,12,6,6,MA,44140,013,"Springfield, MA MSA"
35513,1064445,30,5,f,0,-.390603771769122,986.975,8.33333333333333,2,6,6,6,6,3,1,1,3,1,3,3,3,US,9,5,5,MA,44140,013,"Springfield, MA MSA"
35515,1102574,35,5,f,0,.346372310513955,731.95,10.0,2,7,2,8,3,4,3,-3,3,-1,3,0,0,US,5,9,3,MA,38340,013,"Pittsfield, MA MSA"
35517,1088686,42,5,f,0,.37947567859427,734.991666666667,3.33333333333333,1,7,7,7,8,2,1,-1,2,-3,2,3,3,US,6,2,4,MA,38340,013,"Pittsfield, MA MSA"
35520,1152743,17,5,m,2,-.180451567249396,1257.08333333333,15.8333333333333,1,9,8,7,7,3,1,-1,-3,-3,3,3,3,US,3,,5,MA,44140,013,"Springfield, MA MSA"
35522,1095351,40,2,f,1,-.728077217637039,1273,3.33333333333333,2,5,8,5,8,3,2,2,3,3,3,3,3,US,9,13,5,MA,44140,013,"Springfield, MA MSA"
35523,1140879,22,5,f,2,.744412490681618,877.691666666667,7.5,1,9,10,8,8,3,0,-2,-3,-3,3,-3,-3,US,7,8,6,MA,44140,013,"Springfield, MA MSA"
35526,1138722,33,5,f,0,.0331237028882629,823.4,6.66666666666667,2,8,9,9,9,3,1,1,2,0,3,3,3,US,6,2,3,MA,49340,027,"Worcester, MA MSA"
35527,1093331,15,5,f,0,.573500041766852,855.491666666667,12.5,2,5,5,10,7,4,0,0,0,-1,-1,2,2,US,3,,4,MA,49340,027,"Worcester, MA MSA"
35529,1054744,14,4,f,2,.312822295814779,1360.24166666667,7.5,1,10,10,5,10,3,-3,0,1,0,3,0,0,US,3,13,1,MA,49340,027,"Worcester, MA MSA"
35532,1089445,19,5,m,0,.728462287382333,805.808333333333,17.5,1,1,7,7,10,5,1,-2,2,1,0,-1,-1,US,5,8,1,MA,49340,027,"Worcester, MA MSA"
35534,1134898,42,5,f,0,.0244821538423049,945.858333333333,6.66666666666667,2,7,7,8,8,3,-2,-2,-3,-3,3,3,3,US,5,8,6,MA,49340,027,"Worcester, MA MSA"
35536,1061212,36,5,m,1,-.622068897107561,925.691666666667,1.66666666666667,1,6,3,5,6,2,2,-2,0,-3,3,3,3,US,8,8,4,MA,49340,027,"Worcester, MA MSA"
35537,1078637,18,5,f,0,.491172381244831,954.35,8.33333333333333,1,5,5,5,5,3,-1,-1,1,-1,3,3,3,US,5,1,3,MA,49340,027,"Worcester, MA MSA"
35538,1119008,23,5,f,0,.160469691529344,845.016666666667,13.3333333333333,1,7,7,8,8,3,3,-1,3,0,2,1,1,US,8,10,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35539,1122903,25,2,f,0,.076069075204424,912.883333333333,14.1666666666667,2,5,5,5,5,3,-3,3,3,0,3,3,3,US,7,2,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35540,1114898,44,5,f,0,.584751688991127,755.925,5.83333333333333,2,8,8,8,8,3,2,2,1,-1,3,3,3,US,7,8,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35541,1142520,17,5,m,1,-.332502158296418,807.241666666667,3.33333333333333,1,6,8,3,8,2,1,-1,-3,-3,3,-3,-3,US,3,,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35542,1091801,27,5,f,0,-.650688411041741,874.125,0.833333333333333,1,8,7,8,7,3,1,3,0,-1,3,2,2,US,8,11,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35544,1079629,38,2,m,0,1.05497414878724,1188.45833333333,2.5,2,0,3,9,10,5,3,-2,2,0,1,3,3,MY,7,6,1,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35545,1145787,16,5,f,0,.643802600964171,904.6,12.5,1,5,0,10,10,4,1,0,3,3,3,3,3,US,4,,5,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35547,1137603,23,5,m,2,.392018316722224,1094.35,6.66666666666667,2,6,6,7,6,2,-2,1,1,1,2,-1,-1,US,5,13,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35549,1110170,15,5,m,2,.263539833047421,759.791666666667,16.6666666666667,1,7,4,5,9,3,-1,-1,3,1,3,3,3,US,3,,3,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35553,1126118,45,5,f,0,-.131396456093343,761.85,5.83333333333333,2,8,7,8,8,4,2,-2,1,2,2,3,3,US,7,7,3,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35554,1122231,28,5,f,0,-.124134367875803,827.175,6.66666666666667,2,10,10,10,10,3,-3,3,3,0,3,3,3,US,7,3,6,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35555,1125775,18,5,m,0,.85545321054177,853.108333333333,3.33333333333333,1,5,5,4,10,4,1,-2,3,1,2,3,3,US,4,8,5,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35556,1129398,20,5,f,0,.130143025051799,769.883333333333,10.0,1,8,3,8,8,3,1,-1,1,0,-1,1,1,US,5,13,3,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35557,1104583,26,5,m,0,.294047444756071,930.583333333333,1.66666666666667,2,6,10,5,8,3,3,-2,1,1,3,3,3,US,7,4,2,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35558,1054496,21,5,m,0,.584007941261772,1074.85833333333,10.8333333333333,2,0,10,5,10,4,3,0,2,0,0,-1,-1,US,7,6,3,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35560,1131458,22,4,m,0,.70672681653584,1255.75,10.8333333333333,1,8,7,5,10,3,-3,-1,3,3,3,1,1,US,7,10,6,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35561,1145538,23,5,m,1,-.661244406939236,873.716666666667,0.833333333333333,2,9,9,8,10,3,0,0,3,3,3,3,3,US,5,7,6,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35562,1152426,20,5,f,0,.59868166035262,829.808333333333,15.0,1,8,5,10,4,3,2,1,2,3,2,2,2,US,5,12,4,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35563,1109699,46,5,m,1,-.635977657380314,1109.28333333333,5.0,2,10,8,5,5,3,-3,1,3,-3,3,-3,-3,US,9,8,6,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35565,1057561,59,5,f,1,-.166174103359288,1255.81666666667,4.16666666666667,2,5,7,5,7,3,-2,1,2,-1,3,2,2,US,13,10,6,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35566,1116634,25,5,f,0,.815534401563813,801.825,5.83333333333333,2,10,6,8,7,2,-1,-1,1,-2,3,3,3,US,9,10,5,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35567,1121778,29,5,f,0,.94706308763724,1022.76666666667,9.16666666666667,1,3,3,10,10,5,1,-2,2,1,2,0,0,US,9,5,2,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35568,1130465,33,5,m,0,-.231563774950291,1416.05,2.5,2,7,10,3,10,3,-2,-2,3,3,3,3,3,US,5,6,5,MA,14460,025,"Boston-Cambridge-Quincy, MA-NH MSA"
35569,1052786,37,5,f,2,.0904335479068455,767.258333333333,3.33333333333333,2,9,10,2,8,2,-3,-1,0,0,3,3,3,US,9,5,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35570,1056134,18,5,m,2,.155143717076618,755.908333333333,2.5,2,7,5,8,8,3,3,2,1,1,2,2,2,US,5,1,4,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35571,1056173,19,5,m,0,.203979120368182,807.525,2.5,1,10,10,10,10,3,-3,3,3,-3,3,3,3,US,4,6,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35572,1056181,19,5,f,0,.566987194062014,942.766666666667,13.3333333333333,1,10,9,10,9,3,-2,3,3,2,3,3,3,US,5,8,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35574,1080314,21,5,m,0,1.20369617232953,1070.25,8.33333333333333,2,3,8,8,10,4,3,-2,2,3,-1,0,0,US,5,11,2,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35575,1129484,21,5,m,1,-.00815108794555439,998.075,10.8333333333333,1,6,4,4,6,3,1,-1,3,1,3,1,1,US,5,11,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35576,1134893,26,5,m,0,.34770637285288,925.725,0.0,2,5,5,5,5,3,2,-3,3,1,3,3,3,US,8,9,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35577,1151352,28,5,f,0,-.575722868593086,766.516666666667,13.3333333333333,1,10,10,10,10,3,1,-1,-3,-3,3,3,3,US,9,10,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35578,1070499,26,4,f,0,-.498663054925386,997.875,9.16666666666667,2,5,3,7,7,4,1,-1,1,1,2,3,3,US,8,11,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35579,1071875,40,3,m,0,.69138039021778,943.475,5.83333333333333,2,10,10,10,10,3,2,-1,3,3,3,3,3,US,6,10,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35580,1073974,20,8,f,0,-.490551262430623,758.225,8.33333333333333,1,6,6,6,6,3,1,-1,-1,-2,2,2,2,US,5,7,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35581,1101944,36,2,m,0,-.0995930893065464,732.075,8.33333333333333,2,6,4,5,6,3,3,-2,2,-1,3,2,2,US,7,6,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35582,1119169,25,5,m,0,-.483609503527554,1102.325,4.16666666666667,2,5,5,5,5,3,1,3,1,1,3,2,2,US,5,13,4,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35583,1071970,27,5,m,0,.28019907890337,1541.675,6.66666666666667,2,5,5,5,5,3,1,-1,1,-1,3,3,3,US,7,12,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35584,1091869,37,4,f,0,-.186390728268769,699.075,2.5,1,5,5,5,5,3,-3,3,3,3,3,3,3,US,12,10,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35587,1076671,60,5,f,0,.0480917345032239,747.491666666667,10.8333333333333,1,8,9,8,9,3,1,2,-3,-3,3,3,3,US,9,5,4,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35588,1055414,18,5,f,0,.545583066636123,712.3,10.8333333333333,2,9,8,9,9,3,-2,-1,0,-3,2,3,3,US,5,10,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35589,1056094,20,2,f,0,.569154084141302,834.016666666667,6.66666666666667,1,10,10,10,10,4,0,1,3,0,2,2,2,US,5,1,4,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35590,1063462,25,2,m,0,.20761356233881,884.3,15.0,1,5,9,5,10,3,1,-1,0,0,2,0,0,CN,7,8,4,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35591,1075053,21,5,m,0,.497941520127956,1193.71666666667,1.66666666666667,1,2,8,5,10,4,1,-1,1,1,0,-1,-1,US,6,9,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35592,1078416,21,8,f,0,.658236495402994,681.491666666667,8.33333333333333,2,9,10,10,10,3,-3,1,2,-1,2,-1,-1,US,5,9,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35593,1137221,57,5,m,0,.898929484083147,1266.825,19.1666666666667,1,5,5,5,7,3,3,-1,0,1,3,-1,-1,US,7,4,4,MA,14460,021,"Boston-Cambridge-Quincy, MA-NH MSA"
35594,1137232,57,5,m,0,.697446360552133,1042.11666666667,14.1666666666667,1,4,5,8,10,3,3,-1,-3,1,3,-1,-1,US,7,4,4,MA,14460,021,"Boston-Cambridge-Quincy, MA-NH MSA"
35595,1119852,34,5,f,0,.656006433657708,874.741666666667,6.66666666666667,2,5,5,7,8,3,-1,-1,1,-3,2,2,2,US,8,8,5,MA,14460,021,"Boston-Cambridge-Quincy, MA-NH MSA"
35598,1106996,41,5,m,0,.626944918897471,916.7,8.33333333333333,2,9,9,7,9,3,3,-2,-3,-3,3,3,3,US,9,1,6,MA,14460,023,"Boston-Cambridge-Quincy, MA-NH MSA"
35604,1078152,24,5,m,0,.0844190244124322,877.458333333333,9.16666666666667,2,7,10,8,10,5,3,-3,3,2,2,3,3,US,7,6,2,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35606,1106905,25,5,f,1,-.0896368162152872,835.591666666667,10.0,2,7,7,7,7,2,-3,3,0,-3,3,2,2,US,9,11,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35607,1128151,24,5,f,1,-.0285963009050166,825.85,10.0,2,5,5,5,5,3,-3,3,0,-3,3,2,2,US,7,8,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35608,1061474,32,2,m,0,-.228863324929596,985.725,10.8333333333333,1,5,5,5,7,3,1,2,1,-2,1,2,2,US,9,6,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35609,1060755,49,5,f,0,.279319279418791,804.333333333333,4.16666666666667,2,8,7,8,9,3,3,-3,3,0,3,2,2,US,12,6,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35610,1069826,67,5,f,0,-.564486810812038,927.966666666667,1.66666666666667,1,10,10,10,10,3,1,2,0,-3,3,3,3,US,9,10,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35611,1065190,20,5,f,0,.548676370601442,667.375,10.0,1,6,5,8,7,4,3,-3,3,2,3,3,3,US,5,10,5,MA,14460,021,"Boston-Cambridge-Quincy, MA-NH MSA"
35613,1083448,54,5,m,0,.815421149812903,859,9.16666666666667,1,5,5,5,7,3,3,1,-1,-3,3,3,3,US,9,6,6,MA,12700,001,"Barnstable Town, MA MSA"
35614,1112870,43,5,f,0,.0474042584149662,1246.925,0.833333333333333,2,5,5,5,5,3,2,-1,0,-3,3,3,3,US,7,13,4,MA,12700,001,"Barnstable Town, MA MSA"
35615,1072587,44,5,f,1,-.939862221287417,824.4,4.16666666666667,1,7,10,6,8,3,2,-2,2,-3,3,3,3,US,9,8,4,MA,12700,001,"Barnstable Town, MA MSA"
35616,1107173,28,2,f,2,-.600781923361847,953.866666666667,5.83333333333333,1,8,9,5,7,1,0,1,-2,0,3,3,3,TW,9,2,6,MA,39300,005,"Providence-New Bedford-Fall River, RI-MA MSA"
35617,1119105,61,5,f,0,-.465149265055684,1059.975,5.0,2,9,8,5,6,2,-2,2,0,-3,3,3,3,US,9,7,6,RI,39300,005,"Providence-New Bedford-Fall River, RI-MA MSA"
35618,1119904,48,8,f,0,.425917875247471,845.825,16.6666666666667,1,7,7,7,7,4,1,2,-2,-2,2,3,3,US,5,,4,RI,39300,005,"Providence-New Bedford-Fall River, RI-MA MSA"
35619,1088255,20,5,m,0,.628424707034371,1240.45833333333,4.16666666666667,2,8,8,9,9,5,0,1,0,-1,2,1,1,US,6,4,4,RI,39300,007,"Providence-New Bedford-Fall River, RI-MA MSA"
35620,1108607,20,5,m,0,-.160290601544647,1040.99166666667,5.0,1,8,8,9,9,3,1,0,0,0,0,2,2,US,6,4,5,RI,39300,007,"Providence-New Bedford-Fall River, RI-MA MSA"
35622,1076180,20,4,m,0,.61684785709416,717.333333333333,10.8333333333333,1,6,7,8,9,4,1,-2,3,3,3,2,2,US,5,13,5,RI,39300,007,"Providence-New Bedford-Fall River, RI-MA MSA"
35624,1096937,20,5,f,1,.151399810756043,919.641666666667,7.5,1,7,7,5,5,3,-3,3,-2,0,0,1,1,US,5,9,4,NH,31700,011,"Manchester-Nashua, NH MSA"
35627,1059631,18,5,f,0,.841201286222223,866.3,12.5,2,4,0,10,10,5,0,-3,-1,1,-3,-2,-2,US,3,,4,NH,14460,015,"Boston-Cambridge-Quincy, MA-NH MSA"
35628,1060818,17,5,f,0,.693678856094488,900.825,19.1666666666667,1,4,5,10,5,4,2,-1,2,1,0,-1,-1,US,4,,3,NH,14460,015,"Boston-Cambridge-Quincy, MA-NH MSA"
35629,1061382,17,5,f,2,-.11531392888856,800.608333333333,15.0,2,10,10,10,10,3,-3,3,3,-3,3,3,3,US,3,,5,NH,14460,015,"Boston-Cambridge-Quincy, MA-NH MSA"
35630,1111499,32,5,f,0,.56480207756802,906.833333333333,13.3333333333333,1,10,9,10,9,3,-2,-1,-2,-2,3,2,2,US,7,10,5,NH,31700,011,"Manchester-Nashua, NH MSA"
35631,1072938,20,5,f,0,.526612286227845,970.116666666667,4.16666666666667,2,5,5,5,5,3,1,3,3,-1,3,3,3,US,5,13,2,NH,31700,011,"Manchester-Nashua, NH MSA"
35633,1139897,14,5,m,0,.802819365107167,1160.375,7.5,2,5,6,4,8,4,0,-1,1,-2,-1,1,1,US,3,,4,NH,99029,009,NH NONMETROPOLITAN AREA
35635,1096119,50,5,f,0,.00677095191937555,968.5,18.3333333333333,1,3,4,6,6,3,-1,-2,-1,-2,1,1,1,US,4,,4,NH,99029,001,NH NONMETROPOLITAN AREA
35637,1057993,38,5,m,1,.583203053807682,923.858333333333,4.16666666666667,1,9,7,6,6,2,3,0,2,1,2,-1,-1,US,5,13,4,NH,99029,001,NH NONMETROPOLITAN AREA
35638,1071577,17,5,f,2,.978878628548141,831.166666666667,15.8333333333333,1,5,5,5,5,3,-1,2,3,-2,3,3,3,US,4,,6,NH,99029,005,NH NONMETROPOLITAN AREA
35639,1083687,17,5,m,0,.639578486581644,813.05,5.83333333333333,2,7,6,7,9,3,1,0,2,-1,3,1,1,US,3,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35640,1083690,17,5,f,0,.269337471084643,912.733333333333,3.33333333333333,1,9,9,7,9,3,1,1,2,-3,3,3,3,US,3,,4,NH,99029,005,NH NONMETROPOLITAN AREA
35642,1083715,18,5,m,0,.980442544791158,1142.70833333333,7.5,2,7,10,10,10,4,1,2,3,1,3,2,2,US,4,,5,NH,99029,005,NH NONMETROPOLITAN AREA
35643,1083741,17,5,f,0,1.06491909988705,908.383333333333,17.5,1,6,4,10,5,4,3,-2,1,0,1,3,3,US,3,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35644,1083749,17,5,f,0,.979451005402354,1020.28333333333,4.16666666666667,1,10,10,10,10,3,-2,-3,-3,-3,3,3,3,US,4,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35645,1083772,17,5,f,0,.456803306898304,1254.05833333333,11.6666666666667,1,8,5,10,10,4,-1,-1,0,1,3,3,3,US,3,,4,NH,99029,005,NH NONMETROPOLITAN AREA
35647,1083872,18,5,f,0,1.02524238588709,1159.33333333333,11.6666666666667,1,7,6,8,8,4,-2,2,-3,-3,3,3,3,US,3,,4,NH,99029,005,NH NONMETROPOLITAN AREA
35649,1085950,18,5,f,0,-.705660760022316,750.55,1.66666666666667,1,10,8,10,10,3,0,0,3,-3,3,3,3,US,4,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35650,1086010,18,5,f,0,.28288241931515,924.925,6.66666666666667,2,5,5,7,7,4,3,2,1,0,2,0,0,US,3,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35651,1086608,18,5,m,0,.707599619813972,1228.25,2.5,1,7,10,10,10,4,3,0,3,2,3,2,2,US,3,,2,NH,99029,005,NH NONMETROPOLITAN AREA
35652,1089223,17,8,f,0,.29765174211005,1015.64166666667,10.8333333333333,2,9,7,10,10,4,0,-3,1,2,2,-1,-1,US,3,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35653,1090016,18,5,f,0,.463714160561936,768.316666666667,9.16666666666667,1,8,7,8,8,3,1,0,1,-2,3,3,3,US,3,,4,NH,99029,005,NH NONMETROPOLITAN AREA
35654,1085952,17,5,m,0,.784591743972304,1189.875,11.6666666666667,1,0,0,10,10,5,3,-3,-3,-3,-3,-3,-3,US,3,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35655,1083791,17,5,m,0,.417121300855243,1153.90833333333,18.3333333333333,2,8,8,8,8,3,1,-1,-2,-3,3,3,3,US,3,,6,NH,99029,005,NH NONMETROPOLITAN AREA
35656,1085910,18,5,m,0,.624166065144985,1096.44166666667,6.66666666666667,2,5,5,5,5,3,-3,3,3,3,3,3,3,US,4,,3,NH,99029,005,NH NONMETROPOLITAN AREA
35657,1125858,21,5,f,0,.0385796316145711,730.125,14.1666666666667,1,3,7,8,8,3,1,-1,1,0,0,3,3,US,5,13,4,NH,99029,019,NH NONMETROPOLITAN AREA
35658,1069936,21,5,f,0,.415696302362024,692.966666666667,19.1666666666667,2,9,7,9,8,3,1,-1,0,1,2,2,2,US,5,9,5,NH,99029,009,NH NONMETROPOLITAN AREA
35659,1148324,22,5,f,2,.0520865338564509,861.316666666667,4.16666666666667,2,8,10,7,6,2,1,2,0,-2,3,3,3,US,7,11,5,NH,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35661,1100045,38,5,m,1,.767610133839501,1315.725,15.0,1,8,3,8,4,2,-3,2,3,-3,3,3,3,US,9,5,4,NH,99029,003,NH NONMETROPOLITAN AREA
35662,1100278,47,5,m,1,-.47970994326869,831.075,10.0,1,10,3,8,6,2,1,-1,3,0,3,3,3,US,7,,5,NH,99029,003,NH NONMETROPOLITAN AREA
35663,1086684,16,1,m,1,-.407183769306743,1248.675,2.5,1,9,4,4,6,3,3,2,3,1,2,3,3,US,3,,3,NH,14460,015,"Boston-Cambridge-Quincy, MA-NH MSA"
35664,1069629,19,5,f,2,-.399649227003367,921.083333333333,16.6666666666667,1,9,8,8,6,2,-3,3,0,-3,3,3,3,US,5,5,4,NH,14460,015,"Boston-Cambridge-Quincy, MA-NH MSA"
35665,1144854,57,5,f,0,.771797539236358,820.441666666667,2.5,1,5,5,5,5,1,0,2,3,3,3,3,3,US,5,7,3,NH,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35666,1106746,17,5,f,2,-.265914093779153,851.95,14.1666666666667,2,7,10,4,6,2,1,0,0,-2,3,3,3,US,3,,5,ME,38860,031,"Portland-South Portland-Biddeford, ME MSA"
35667,1069690,34,5,f,2,.0685019425715905,921.191666666667,2.5,1,8,8,8,7,3,-2,2,1,-1,2,3,3,US,5,11,4,ME,38860,005,"Portland-South Portland-Biddeford, ME MSA"
35668,1080888,21,5,m,0,.445561123387377,795.658333333333,19.1666666666667,2,5,5,5,5,3,1,-1,-1,1,2,3,3,IL,5,10,5,ME,38860,005,"Portland-South Portland-Biddeford, ME MSA"
35669,1073399,43,5,m,2,.248674353047639,960.391666666667,8.33333333333333,1,7,5,4,7,3,1,-2,3,-2,3,3,3,US,5,12,4,ME,38860,005,"Portland-South Portland-Biddeford, ME MSA"
35670,1100698,18,5,m,0,.0416983895600312,1111.175,9.16666666666667,2,5,5,5,5,3,-2,3,-3,-3,3,3,3,US,4,,6,ME,38860,005,"Portland-South Portland-Biddeford, ME MSA"
35671,1091047,39,5,f,0,-.267809812529746,1063.75833333333,5.83333333333333,1,6,4,6,6,3,1,0,1,1,1,3,3,US,7,8,3,ME,38860,005,"Portland-South Portland-Biddeford, ME MSA"
35672,1095292,35,5,m,0,.647545335869958,1175.525,6.66666666666667,1,5,10,5,10,4,2,-2,-3,-3,2,3,3,US,5,7,6,ME,99019,015,ME NONMETROPOLITAN AREA
35674,1078628,17,5,f,0,.953003560172899,1519.225,14.1666666666667,1,4,2,10,10,4,2,-3,3,-1,1,1,1,US,4,,3,ME,99019,003,ME NONMETROPOLITAN AREA
35675,1078772,19,5,f,0,.0296068919754109,783.25,18.3333333333333,2,4,2,9,7,4,1,-2,3,2,0,1,1,US,5,5,3,ME,99019,003,ME NONMETROPOLITAN AREA
35677,1138787,18,5,m,0,.55454169846297,1200.65833333333,3.33333333333333,2,5,5,5,9,3,2,2,0,0,3,2,2,US,4,,4,VT,99043,027,VT NONMETROPOLITAN AREA
35678,1112705,22,5,f,0,-.294661458128789,808.266666666667,10.0,1,5,9,7,9,3,-1,2,0,-1,3,3,3,US,7,12,5,VT,99043,027,VT NONMETROPOLITAN AREA
35679,1078210,33,5,m,0,-.00403990665403524,772.108333333333,1.66666666666667,2,6,7,3,8,2,1,-1,-2,0,2,2,2,US,5,11,6,VT,99043,025,VT NONMETROPOLITAN AREA
35680,1146269,23,5,m,0,.894449468998172,1328.30833333333,15.8333333333333,1,5,4,5,7,4,1,-1,3,1,3,0,0,US,7,8,5,VT,15540,007,"Burlington-South Burlington, VT MSA"
35681,1069366,21,5,f,0,.222667911666741,980.483333333333,1.66666666666667,1,10,10,10,10,3,-1,0,2,1,3,3,3,US,7,6,3,VT,15540,007,"Burlington-South Burlington, VT MSA"
35682,1058053,35,5,m,0,.410346024673532,892.708333333333,9.16666666666667,1,6,8,8,10,4,-1,0,1,-2,2,3,3,CA,9,6,3,VT,99043,023,VT NONMETROPOLITAN AREA
35683,1128840,23,5,f,0,.317301815735868,832.216666666667,1.66666666666667,2,10,10,10,10,3,-2,3,-3,-3,3,3,3,US,9,13,2,CT,25540,003,"Hartford-West Hartford-East Hartford, CT MSA"
35684,1119336,27,5,m,0,.611937088826084,794.208333333333,5.83333333333333,1,5,5,5,9,5,2,-2,1,-1,2,3,3,US,9,10,4,CT,25540,003,"Hartford-West Hartford-East Hartford, CT MSA"
35685,1090984,25,5,f,0,-.0695289996134984,770.808333333333,6.66666666666667,2,7,9,9,9,3,1,-1,2,1,3,2,2,US,7,10,4,CT,25540,003,"Hartford-West Hartford-East Hartford, CT MSA"
35686,1100146,40,5,f,0,.169725164006782,974.133333333333,3.33333333333333,1,5,5,5,5,3,1,-1,0,-3,3,3,3,US,5,9,4,CT,25540,003,"Hartford-West Hartford-East Hartford, CT MSA"
35687,1105713,30,5,m,0,.746180942915715,900.925,10.0,1,7,7,7,7,3,1,-1,-2,-3,3,3,3,US,9,5,4,CT,99007,005,CT NONMETROPOLITAN AREA
35688,1136956,28,4,m,0,.137710848045426,794.608333333333,1.66666666666667,2,5,5,5,5,3,-3,3,-3,-3,3,2,2,US,7,11,6,CT,25540,013,"Hartford-West Hartford-East Hartford, CT MSA"
35691,1117399,17,3,f,0,1.050971822023,928.2,5.83333333333333,1,7,4,10,4,4,-3,0,3,3,2,3,3,US,4,,5,CT,25540,003,"Hartford-West Hartford-East Hartford, CT MSA"
