subjCode,Age_years,Gender,First_language,Normal_colour_vision,percentExtremesBelow,percentExtremesAbove,wordIdent,colourIdent,incon,interf_incon_vs_col,interf_Golden,accWordIdent,accColourIdent,accIncon,semo,attcon
985695,19,female,English,yes,0,0,615,604,679,75,29.358,96.7,96.7,91.7,6,44
266584,19,female,English,yes,0,0,726,697,727,30,30.275,98.3,93.3,95,9,48
51668,18,female,English,yes,.6,2.2,743,668,775,107,26.172,94.9,90,98.2,13,43
929478,18,female,other,yes,0,.6,891,754,1237,483,9.023,98.3,96.7,93.2,9,61
737251,19,female,English,yes,0,1.7,675,648,1021,373,10.061,95,100,89.5,15,37
867241,18,female,English,yes,0,0,605,598,753,155,22.354,96.7,96.7,98.3,12,40
680020,19,female,English,yes,0,2.2,772,767,1241,474,7.021,96.7,93.3,98.2,10,44
782320,19,female,English,yes,0,1.1,767,717,951,234,16.995,89.7,86.7,93.3,13,49
20631,18,female,English,yes,0,.6,800,779,920,141,20.414,93.3,96.7,94.9,11,42
206700,18,female,English,yes,0,0,609,656,725,69,26.496,91.7,85,96.7,14,48
458537,20,female,English,yes,0,0,639,675,960,285,12.628,93.3,95,85,12,53
510362,19,female,English,yes,0,0,698,674,722,48,29.528,96.7,95,98.3,11,48
451588,19,female,English,yes,0,1.1,566,567,732,165,21.758,95,96.7,87.9,6,55
877329,19,female,English,yes,1.1,1.1,810,764,1168,404,9.938,93.3,98.3,83.9,9,46
613561,19,female,English,yes,0,0,611,564,746,182,22.024,96.7,96.7,93.3,8,54
603190,19,female,English,yes,0,0,600,622,681,59,29.254,95,91.7,83.3,10,40
240514,20,female,English,yes,0,.6,580,645,882,237,14.286,96.7,93.3,93.2,14,40
647605,19,female,English,yes,0,.6,762,747,1139,392,9.687,96.7,95,98.3,12,61
437358,19,non-binary,English,yes,0,1.7,759,701,1010,309,13.733,98.3,95,91.2,10,28
719994,19,female,English,yes,0,0,563,644,828,184,17.065,98.3,98.3,100,10,48
190013,18,female,English,yes,0,0,619,610,646,36,33.044,96.7,93.3,91.7,10,49
601133,19,male,English,yes,0,0,634,683,801,118,22.011,91.7,93.3,90,13,55
477597,20,female,English,yes,0,2.8,692,802,772,-30,28.17,93.2,94.7,84.7,14,57
178430,18,female,English,yes,0,0,823,780,975,195,18.081,93.3,96.7,98.3,13,57
586407,20,female,English,yes,0,.6,846,861,888,27,24.314,98.3,100,94.9,5,33
933788,18,female,English,yes,0,1.7,669,631,1246,615,1.5,81.4,90,91.4,13,41
321954,18,female,English,yes,0,.6,598,690,898,208,15.173,100,93.3,96.7,13,56
611629,19,female,English,yes,0,2.2,920,949,1196,247,13.548,90,91.7,82.1,11,41
904912,20,female,English,yes,0,.6,719,619,748,129,26.528,93.3,95,98.3,14,39
824628,19,female,English,yes,0,.6,595,551,656,105,29.331,94.9,93.3,93.3,12,44
553348,18,female,other,yes,0,.6,588,556,665,109,28.334,91.7,88.3,84.7,9,58
742567,18,female,English,yes,0,0,621,581,730,149,24.206,90,90,91.7,7,41
339203,18,male,other,yes,0,0,614,608,723,115,25.416,98.3,95,95,12,48
414962,19,female,English,yes,0,0,642,610,829,219,18.34,98.3,98.3,93.3,9,58
538085,18,female,English,yes,0,0,784,766,943,177,18.688,91.7,95,96.7,10,42
139677,19,female,English,yes,.6,2.8,926,958,1038,80,19.467,94.9,87.7,91.4,9,51
265156,21,female,English,yes,0,2.8,766,813,1494,681,1.621,96.6,96.7,87.5,11,49
194852,19,male,English,yes,0,1.7,668,633,870,237,17.135,96.7,95,98.2,12,45
585816,19,male,English,yes,0,0,929,776,904,128,23.386,96.7,98.3,96.7,6,35
689327,18,male,English,yes,0,.6,625,686,841,155,19.183,91.7,86.7,91.5,12,43
850773,19,male,English,yes,0,0,864,774,951,177,19.846,96.7,93.3,98.3,11,52
314070,19,female,English,yes,0,0,839,804,962,158,19.389,91.7,96.7,91.7,8,53
367306,26,female,other,yes,0,0,645,641,762,121,24.063,100,96.7,93.3,13,66
